Time,Status
11:25:36,Mask
11:25:36,Mask
11:25:36,Mask
11:25:36,Mask
11:25:36,Mask
11:25:36,Mask
11:25:37,Mask
11:25:37,Mask
11:25:37,Mask
11:25:37,Mask
11:25:37,Mask
11:25:37,Mask
11:25:37,Mask
11:25:37,Mask
11:25:37,Mask
11:25:37,Mask
11:25:37,Mask
11:25:37,Mask
11:25:37,Mask
11:25:37,Mask
11:25:37,Mask
11:25:37,Mask
11:25:37,Mask
11:25:37,Mask
11:25:38,Mask
11:25:38,Mask
11:25:38,Mask
11:25:38,Mask
11:25:38,Mask
11:25:38,Mask
11:25:38,Mask
11:25:38,Mask
11:25:38,Mask
11:25:38,Mask
11:25:38,Mask
11:25:38,Mask
11:25:38,Mask
11:25:38,Mask
11:25:38,Mask
11:25:38,Mask
11:25:38,Mask
11:25:38,Mask
11:25:38,Mask
11:25:38,Mask
11:25:38,Mask
11:25:39,Mask
11:25:39,Mask
11:25:39,Mask
11:25:39,Mask
11:25:39,No Mask
11:25:39,Mask
11:25:39,Mask
11:25:39,Mask
11:25:39,Mask
11:25:39,Mask
11:25:39,Mask
11:25:39,Mask
11:25:39,Mask
11:25:39,Mask
11:25:39,Mask
11:25:39,Mask
11:25:39,Mask
11:25:39,Mask
11:25:39,Mask
11:25:39,No Mask
11:25:40,Mask
11:25:40,Mask
11:25:40,Mask
11:25:40,Mask
11:25:40,Mask
11:25:40,No Mask
11:25:40,No Mask
11:25:40,No Mask
11:25:40,Mask
11:25:40,Mask
11:25:40,Mask
11:25:40,Mask
11:25:40,Mask
11:25:40,Mask
11:25:40,Mask
11:25:40,Mask
11:25:40,Mask
11:25:41,Mask
11:25:41,Mask
11:25:41,Mask
11:25:41,Mask
11:25:41,Mask
11:25:41,Mask
11:25:41,Mask
11:25:41,Mask
11:25:41,Mask
11:25:41,Mask
11:25:41,Mask
11:25:41,Mask
11:25:41,Mask
11:25:41,Mask
11:25:41,Mask
11:25:41,Mask
11:25:41,Mask
11:25:41,Mask
11:25:41,Mask
11:25:41,No Mask
11:25:41,Mask
11:25:41,No Mask
11:25:41,Mask
11:25:41,Mask
11:25:41,No Mask
11:25:41,Mask
11:25:41,No Mask
11:25:41,Mask
11:25:41,No Mask
11:25:41,Mask
11:25:41,No Mask
11:25:41,Mask
11:25:41,Mask
11:25:42,Mask
